Date,Close,Volume,Dividends,Stock Splits,Log_Return,OBV,Target_Log_Return,Lag_1,Lag_2,Lag_3,Lag_5,Rolling_Std_14,Distancia_SMA_20,Distancia_SMA_50,Volume_Shock,Month_Sin,Month_Cos,Day_Sin,Day_Cos,Bollinger_Width,RSI_14,MACD_Histogram
2015-12-31T00:00:00.000000000,43.86799621582031,390400,0.0,0.0,-0.008505317383844468,-12094400,-0.01278982535297653,0.009964850755945632,0.03179584923378148,-0.006868554889725053,0.009181106735568885,0.02004001521670274,0.008234022707493738,-0.03196911644858147,0.9946750235674794,-2.4492935982947064e-16,1.0,-0.587785252292473,-0.8090169943749475,0.06626127790291453,54.76601024740004,0.23271118686311631
2016-01-04T00:00:00.000000000,43.31050491333008,2507000,0.0,0.0,-0.01278982535297653,-14601400,0.022946397169564235,-0.008505317383844468,0.009964850755945632,0.03179584923378148,-0.006396404498333554,0.020263522781907174,-0.004923876944646133,-0.04132861701276713,4.260127786840674,0.49999999999999994,0.8660254037844387,0.0,1.0,0.06551061437939913,48.403912504443895,0.2020566719662008
2016-01-05T00:00:00.000000000,44.31581497192383,1934400,0.0,0.0,0.022946397169564235,-12667000,-0.02972187739668366,-0.01278982535297653,-0.008505317383844468,0.009964850755945632,-0.006868554889725053,0.018267022757064707,0.018237661247641368,-0.0157870964880229,2.628975265017668,0.49999999999999994,0.8660254037844387,0.9510565162951535,0.30901699437494745,0.06520899491395499,58.447637131312504,0.2418571598312128
2016-01-06T00:00:00.000000000,43.01804733276367,2554900,0.0,0.0,-0.02972187739668366,-15221900,-0.00896287086479391,0.022946397169564235,-0.01278982535297653,-0.008505317383844468,0.03179584923378148,0.019841782379120352,-0.010625257171634095,-0.040984853862612525,2.75022067213503,0.49999999999999994,0.8660254037844387,0.5877852522924732,-0.8090169943749473,0.06563027930164349,45.31000830893136,0.17620279149495
2016-01-07T00:00:00.000000000,42.63420486450195,1775300,0.0,0.0,-0.00896287086479391,-16997200,-0.0789178265815495,-0.02972187739668366,0.022946397169564235,-0.01278982535297653,0.009964850755945632,0.019027060987428263,-0.018452658902238572,-0.046289207578965486,1.6721926040351902,0.49999999999999994,0.8660254037844387,-0.587785252292473,-0.8090169943749475,0.06794984104110767,42.08189129536704,0.10581604027560054
2016-01-08T00:00:00.000000000,39.39894485473633,5116900,0.0,0.0,-0.0789178265815495,-22114100,0.0062434210226170305,-0.00896287086479391,-0.02972187739668366,0.022946397169564235,-0.008505317383844468,0.027630466082831335,-0.08848705027627013,-0.11477338315448204,3.300948952668486,0.49999999999999994,0.8660254037844387,-0.9510565162951536,0.30901699437494723,0.10762697738038819,24.85813803838252,-0.14605906927351808
2016-01-11T00:00:00.000000000,39.64569854736328,2307700,0.0,0.0,0.0062434210226170305,-19806400,0.006433868202248095,-0.0789178265815495,-0.00896287086479391,-0.02972187739668366,-0.01278982535297653,0.027378385467527185,-0.07731573352964694,-0.10611253604145632,1.3068567933674624,0.49999999999999994,0.8660254037844387,0.0,1.0,0.12602446823193975,27.4705943789438,-0.2759369783321335
2016-01-12T00:00:00.000000000,39.90159606933594,1933800,0.0,0.0,0.006433868202248095,-17872600,-0.022936257865189345,0.0062434210226170305,-0.0789178265815495,-0.00896287086479391,0.022946397169564235,0.026478731053292633,-0.06626598746597034,-0.09760570002099278,1.0007814561996389,0.49999999999999994,0.8660254037844387,0.9510565162951535,0.30901699437494745,0.13664542736867627,30.367468344204568,-0.32132853697879127
2016-01-13T00:00:00.000000000,38.99681854248047,1440600,0.0,0.0,-0.022936257865189345,-19313200,-0.01606451696017584,0.006433868202248095,0.0062434210226170305,-0.0789178265815495,-0.02972187739668366,0.02672284994929903,-0.0832625797767107,-0.11522954360418525,0.7111264685556323,0.49999999999999994,0.8660254037844387,0.5877852522924732,-0.8090169943749473,0.15803959422423727,26.112573856925493,-0.3847253847833896
2016-01-14T00:00:00.000000000,38.37535858154297,3631200,0.0,0.0,-0.01606451696017584,-22944400,-0.04805214671270706,-0.022936257865189345,0.006433868202248095,0.0062434210226170305,-0.00896287086479391,0.026446452998547545,-0.09245139398696167,-0.125306627028691,1.5391527708310373,0.49999999999999994,0.8660254037844387,-0.587785252292473,-0.8090169943749475,0.18010067569603633,23.502712425548083,-0.43712669934227155
2016-01-15T00:00:00.000000000,36.57494354248047,1878300,0.0,0.0,-0.04805214671270706,-24822700,0.040401885306128864,-0.01606451696017584,-0.022936257865189345,0.006433868202248095,-0.0789178265815495,0.028500292186503372,-0.1270298856743448,-0.16202860021774546,0.7489204588498451,0.49999999999999994,0.8660254037844387,-0.9510565162951536,0.30901699437494723,0.2126987195983311,17.616918031121145,-0.5541311218458356
2016-01-19T00:00:00.000000000,38.0828971862793,1396800,0.0,0.0,0.040401885306128864,-23425900,-0.043404960516208395,-0.04805214671270706,-0.01606451696017584,-0.022936257865189345,0.0062434210226170305,0.031664872402670234,-0.08524144837264702,-0.12315780214738414,0.5827308415971698,0.49999999999999994,0.8660254037844387,0.9510565162951535,0.30901699437494745,0.22608942880824295,33.67005774194614,-0.4930986183670547
2016-01-20T00:00:00.000000000,36.46527099609375,2620700,0.0,0.0,-0.043404960516208395,-26046600,0.015912842210093075,0.040401885306128864,-0.04805214671270706,-0.01606451696017584,0.006433868202248095,0.030811712879449952,-0.1178420809518782,-0.15619838792830965,1.0628969589798916,0.49999999999999994,0.8660254037844387,0.5877852522924732,-0.8090169943749473,0.25273803370435494,27.127230011781464,-0.522018775100376
2016-01-21T00:00:00.000000000,37.05017852783203,1573200,0.0,0.0,0.015912842210093075,-24473400,0.03180247109973107,-0.043404960516208395,0.040401885306128864,-0.04805214671270706,-0.022936257865189345,0.03119282769833723,-0.09683305283031496,-0.1383303913431243,0.6645124501045429,0.49999999999999994,0.8660254037844387,-0.587785252292473,-0.8090169943749475,0.26660600745961643,32.59221102461932,-0.46405313118297475
2016-01-22T00:00:00.000000000,38.24740219116211,1243900,0.0,0.0,0.03180247109973107,-23229500,-0.039230052609023576,0.015912842210093075,-0.043404960516208395,0.040401885306128864,-0.01606451696017584,0.03338991263452857,-0.06266807952427023,-0.10617419856010835,0.5374820140776301,0.49999999999999994,0.8660254037844387,-0.9510565162951536,0.30901699437494723,0.27200216636266344,42.73482619448971,-0.3145335495228858
2016-01-25T00:00:00.000000000,36.776004791259766,1388300,0.0,0.0,-0.039230052609023576,-24617800,0.029626346956058012,0.03180247109973107,0.015912842210093075,-0.043404960516208395,-0.04805214671270706,0.034307565807338666,-0.09180152538501674,-0.1354787644473402,0.715084086636277,0.49999999999999994,0.8660254037844387,0.0,1.0,0.282828439853071,35.21981638256463,-0.2850560732073639
2016-01-26T00:00:00.000000000,37.88184356689453,967500,0.0,0.0,0.029626346956058012,-23650300,-0.020473610256473984,-0.039230052609023576,0.03180247109973107,0.015912842210093075,0.040401885306128864,0.034868087517523814,-0.05886351887717289,-0.10452329079256173,0.5352904400170407,0.49999999999999994,0.8660254037844387,0.9510565162951535,0.30901699437494745,0.2851360364482109,43.7913837113565,-0.1672410286565531
2016-01-27T00:00:00.000000000,37.11415100097656,1124900,0.0,0.0,-0.020473610256473984,-24775200,-0.016135541397623483,0.029626346956058012,-0.039230052609023576,0.03180247109973107,-0.043404960516208395,0.0345766801059884,-0.07180324638924218,-0.11751919197741834,0.6515342824377078,0.49999999999999994,0.8660254037844387,0.5877852522924732,-0.8090169943749473,0.29037597629646084,39.59476717693542,-0.11941698420781521
2016-01-28T00:00:00.000000000,36.52009963989258,1155000,0.0,0.0,-0.016135541397623483,-25930200,-0.004766014427140705,-0.020473610256473984,0.029626346956058012,-0.039230052609023576,0.015912842210093075,0.03460457230537223,-0.07826461350304492,-0.1273052190444598,0.6802200261487179,0.49999999999999994,0.8660254037844387,-0.587785252292473,-0.8090169943749475,0.28821948503483014,36.47388607467057,-0.10661540660997715
2016-01-29T00:00:00.000000000,36.346458435058594,1480200,0.0,0.0,-0.004766014427140705,-27410400,0.004015329930460764,-0.016135541397623483,-0.020473610256473984,0.029626346956058012,0.03180247109973107,0.0285669083879863,-0.07341400496992301,-0.12774377849223206,0.9981927060854553,0.49999999999999994,0.8660254037844387,-0.9510565162951536,0.30901699437494723,0.27789096979219485,35.52938210699203,-0.08936372049279395
2016-02-01T00:00:00.000000000,36.49269485473633,1185500,0.0,0.0,0.004015329930460764,-26224900,-0.1323518045307432,-0.004766014427140705,-0.016135541397623483,-0.020473610256473984,-0.039230052609023576,0.028501021508675905,-0.06085710766964059,-0.12074388643610057,0.8386389360498019,0.8660254037844386,0.5000000000000001,0.0,1.0,0.2633055311728916,37.11187247429332,-0.04960963376263061
2016-02-02T00:00:00.000000000,31.968795776367188,7485100,0.0,0.0,-0.1323518045307432,-33710000,0.05857115258367653,0.004015329930460764,-0.004766014427140705,-0.016135541397623483,0.029626346956058012,0.0438676001804168,-0.16509547669291014,-0.2255477170345045,3.701042804942569,0.8660254037844386,0.5000000000000001,0.9510565162951535,0.30901699437494745,0.28908570232770353,19.78073778281194,-0.295759519996047
2016-02-03T00:00:00.000000000,33.89716720581055,4631600,0.0,0.0,0.05857115258367653,-29078400,0.04713235355107098,-0.1323518045307432,0.004015329930460764,-0.004766014427140705,-0.020473610256473984,0.04806060430006572,-0.10252370078114559,-0.17499301046420757,2.0830035259408506,0.8660254037844386,0.5000000000000001,0.5877852522924732,-0.8090169943749473,0.2695346500731564,34.76458250218083,-0.29576196792262444
2016-02-04T00:00:00.000000000,35.5330696105957,1902700,0.0,0.0,0.04713235355107098,-27175700,-0.030819919822602182,0.05857115258367653,-0.1323518045307432,0.004015329930460764,-0.016135541397623483,0.05036106289048408,-0.04979546379234967,-0.13162348342050245,0.8432197192960686,0.8660254037844386,0.5000000000000001,-0.587785252292473,-0.8090169943749475,0.24258195759311885,44.848249808091936,-0.15947443040376053
2016-02-05T00:00:00.000000000,34.454647064208984,861400,0.0,0.0,-0.030819919822602182,-28037100,-0.047530782540516806,0.04713235355107098,0.05857115258367653,-0.1323518045307432,-0.004766014427140705,0.049443176553342544,-0.06844592969224184,-0.15484508300833688,0.38832938121556926,0.8660254037844386,0.5000000000000001,-0.9510565162951536,0.30901699437494723,0.2156894463487375,40.129973111057936,-0.11776579104522855
