Date,SP500_Return,VIX_Return,EURUSD_Return,Sentiment_Score,Log_Return,Target_Log_Return,Lag_1,Lag_2,Lag_3,Lag_5,Rolling_Std_14,Distancia_SMA_20,Distancia_SMA_50,Bollinger_Width,Volume_Shock,Month_Sin,Month_Cos,Day_Sin,Day_Cos,Volume_ROC_5,OBV_ROC_5,RSI_14,MACD_Line,MACD_Signal,MACD_Histogram,ATR_14,ATR_Pct
2015-12-31,-0.009456485041467845,0.05184249081697819,0.0005465898145392706,0.0,-0.008505317383844468,-0.012789913430856047,0.009964850755945632,0.031795759334775235,-0.006868464990718962,0.009181284164308738,0.02004003914143821,0.00823400502819771,-0.031969124597325926,0.06626124439663288,0.9946750235674794,-2.4492935982947064e-16,1.0,-0.587785252292473,-0.8090169943749475,0.681309216192937,0.000645342776297797,54.7659980521352,-0.41557231091309177,-0.6482835630420347,0.23271125212894295,1.5227155140038389,0.034711307681172254
2016-01-04,0.0,0.0,-0.0004668877623843841,0.0,-0.012789913430856047,0.02294639916762254,-0.008505317383844468,0.009964850755945632,0.031795759334775235,-0.006396581927073453,0.02026354785620868,-0.004923968949468671,-0.04132870792634891,0.06551061209381369,4.260127786840674,0.49999999999999994,0.8660254037844387,0.0,1.0,15.646746347941566,0.19319779034419637,48.403868214490274,-0.39571301988025454,-0.5977694544096787,0.20205643452942412,1.5203658840992824,0.035103862701493335
2016-01-05,0.0020102041393599396,-0.06795823921339639,-0.0024391094133951064,0.0,0.02294639916762254,-0.029721791316862447,-0.012789913430856047,-0.008505317383844468,0.009964850755945632,-0.006868464990718962,0.01826701933922774,0.018237573597929435,-0.01578718621189168,0.06520897233403425,2.628975265017668,0.49999999999999994,0.8660254037844387,0.9510565162951535,0.30901699437494745,6.183067211288526,0.012833326670131484,58.44758872126685,-0.29544852200510974,-0.5373052679287649,0.24185674592365514,1.425709576626036,0.032171578030419194
2016-01-06,-0.01320216300262602,0.06263003053556988,-0.007002590122124636,0.0,-0.029721791316862447,-0.008962781389756072,0.02294639916762254,-0.012789913430856047,-0.008505317383844468,0.031795759334775235,0.019841762087068966,-0.010625257171634095,-0.04098485875602209,0.06563025682325947,2.75022067213503,0.49999999999999994,0.8660254037844387,0.5877852522924732,-0.8090169943749473,4.054203758654797,0.26838596783601365,45.31001363751604,-0.3170521005842417,-0.49325463445986023,0.17620253387561852,1.4074313630086988,0.032717230331762694
2016-01-07,-0.023985816519344776,0.19367020723744927,0.0025084301533166513,0.0,-0.008962781389756072,-0.07891810970124705,-0.029721791316862447,0.02294639916762254,-0.012789913430856047,0.009964850755945632,0.019027038161035244,-0.018452566768078493,-0.04628912875631708,0.0679497952406469,1.6721926040351902,0.49999999999999994,0.8660254037844387,-0.587785252292473,-0.8090169943749475,4.977441077441077,0.45225563909774436,42.08192700793041,-0.3609844595777716,-0.46680059948344255,0.10581613990567096,1.3578188733418248,0.03184810778496495
2016-01-08,-0.010897537445847908,0.07773144059056664,0.013543452932964715,0.0,-0.07891810970124705,0.006243614667276933,-0.008962781389756072,-0.029721791316862447,0.02294639916762254,-0.008505317383844468,0.027630502041973638,-0.08848720667452348,-0.11477355912622178,0.10762705589691941,3.300948952668486,0.49999999999999994,0.8660254037844387,-0.9510565162951536,0.30901699437494723,12.106813524590164,0.8284577986506152,24.858118990743208,-0.6493749484464786,-0.5033154692760498,-0.14605947917042883,1.4603085310490032,0.03706466808220699
2016-01-11,0.0008529082958226729,-0.10573085732867375,0.0013776088495606677,0.0,0.006243614667276933,0.006433772599620078,-0.07891810970124705,-0.008962781389756072,-0.029721791316862447,-0.012789913430856047,0.027378446323205383,-0.07731570485894723,-0.10611254219208743,0.12602447069688277,1.3068567933674624,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.07949740725967291,0.3564726670045337,27.470650917202903,-0.8482369644821119,-0.5722997683172621,-0.2759371961648498,1.4785870260576115,0.03729501762445167
2016-01-12,0.00777251411777486,-0.07829526331090222,-0.0076186124028738075,0.0,0.006433772599620078,-0.02293626008329635,0.006243614667276933,-0.07891810970124705,-0.008962781389756072,0.02294639916762254,0.026478790420678792,-0.06626604756018384,-0.09760579252031032,0.13664546951645898,1.0007814561996389,0.49999999999999994,0.8660254037844387,0.9510565162951535,0.30901699437494745,-0.00031017369727048827,0.4109576063787794,30.3674749363706,-0.9739608469555066,-0.6526319840449111,-0.3213288629105955,1.447252781745638,0.03627055212508194
2016-01-13,-0.025282375077909022,0.1154562476716288,-0.0012912976103600176,0.0,-0.02293626008329635,-0.016064617949186732,0.006433772599620078,0.006243614667276933,-0.07891810970124705,-0.029721791316862447,0.026722905993006356,-0.08326264890031732,-0.11522963321611324,0.15803966713930243,0.7111264685556323,0.49999999999999994,0.8660254037844387,0.5877852522924732,-0.8090169943749473,-0.43614231476770127,0.26877722229156675,26.11258521388831,-1.1335391804150916,-0.7488134233189473,-0.3847257570961443,1.4009041273960108,0.03592355265872367
2016-01-14,0.016558060934383972,-0.0516689475981104,0.0038679156615933005,0.0,-0.016064617949186732,-0.04805215649919095,-0.02293626008329635,0.006433772599620078,0.006243614667276933,-0.008962781389756072,0.026446502514092175,-0.09245154985417592,-0.1253068009262409,0.1801008191943978,1.5391527708310373,0.49999999999999994,0.8660254037844387,-0.587785252292473,-0.8090169943749475,1.0454007773334086,0.34989292354034784,23.50271136896484,-1.2952225727156588,-0.8580952531982897,-0.43712731951736905,1.448558186003492,0.037747099376621976
