Date,Sentiment_Score
2025-09-03,0.658638421446085
2025-09-06,0.003421543166041374
2025-09-08,-0.03652237355709076
2025-09-13,0.8988747978582978
2025-09-20,-0.3554384596645832
2025-09-22,-0.27664622229834396
2025-09-23,0.257360783405602
2025-09-24,0.8688322785310447
2025-09-26,0.15978795615956187
2025-09-27,0.10949154384434223
2025-09-28,0.12211131490767002
2025-09-29,-0.8999078534543514
2025-09-30,0.4562759161926806
2025-10-01,-0.019634079188108444
2025-10-02,0.4732530556619167
2025-10-03,0.349647160153836
2025-10-04,0.09676825068891048
2025-10-05,0.7518292148597538
2025-10-06,0.2785188555717468
2025-10-07,0.05075265280902386
2025-10-08,-0.40662395767867565
2025-10-09,-0.1880163272450629
2025-10-10,-0.08154233274134723
2025-10-11,-0.41545983823016286
2025-10-12,-0.05744236521422863
2025-10-15,-0.400382112711668
2025-10-16,0.08458124163250129
2025-10-17,-0.14720511308405548
2025-10-18,0.051810234785079956
2025-10-19,0.17392347939312458
2025-10-20,0.4716711388900876
2025-10-21,0.018332589417696
2025-10-22,0.08028296241536736
2025-10-23,-0.039605654776096344
2025-10-24,0.7001752350479364
2025-10-25,0.3899491662159562
2025-10-26,0.29457860067486763
2025-10-27,0.03789278119802475
2025-10-29,-0.47291612438857555
2025-10-31,0.10687739836672942
2025-11-02,0.005796294659376144
2025-11-04,0.33559949207119644
2025-11-05,0.3554401993751526
2025-11-06,0.05149961914867163
2025-11-10,-0.03725630044937134
2025-11-12,-0.2121182195842266
2025-11-13,-0.009520139545202255
2025-11-24,0.20735394364843765
2025-11-25,0.744776226580143
2025-11-26,0.12546451948583126
2025-12-03,0.10941494209691882
2025-12-04,0.27463941369205713
2025-12-05,0.025590457022190094
2025-12-08,0.01744101569056511
2025-12-18,0.004445895552635193
2025-12-23,0.008485034108161926
2025-12-26,0.8154936674982309
2025-12-31,0.11934580560773611
2026-01-02,0.07337334658950567
2026-01-08,-0.009801264852285385
2026-01-09,0.4222895014099777
2026-01-12,0.31048110499978065
2026-01-14,0.46921421913430095
2026-01-21,-0.7586478441953659
2026-01-25,0.003937330096960068
2026-02-01,0.17421008832752705
2026-02-02,0.06737792957574129
2026-02-03,0.0339660911510388
2026-02-04,0.014530979096889496
2026-02-05,-0.043216342106461525
2026-02-08,-0.04713236540555954
2026-02-09,0.059714749455451965
2026-02-10,0.36650061438558623
2026-02-11,0.11796869989484549
2026-02-12,0.04017339972779155
2026-02-15,-0.04204988479614258
2026-03-02,-0.9549492541700602
2026-03-03,0.38458377961069345
2026-03-05,-0.04424258694052696
2026-03-06,0.08270267490297556
2026-03-18,0.42037635296583176
2026-03-19,-0.9438597024418414
2026-03-20,0.22225818876177073
2026-03-23,0.605980172753334
2026-03-26,-0.8746968675404787
2026-03-31,0.6026953957043588
2026-04-01,0.3982102172449231
2026-04-02,-0.8885025419294834
2026-04-03,0.06001792615279555
2026-04-04,0.15919084660708904
2026-04-06,0.43760492466390133
2026-04-07,-0.27776290600498516
2026-04-08,0.1292776254316171
2026-04-10,0.04760105861350894
2026-04-13,0.7342439498752356
2026-04-14,-0.6078628748655319
2026-04-15,-0.1557813324034214
2026-04-17,0.9274281170219183
2026-04-21,0.11651124805212021
