mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_num_leaves,param_n_estimators,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.981377458572388,0.1130911489435245,0.003925609588623047,0.001694716481050683,20,300,3,0.05,"{'num_leaves': 20, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05}",-0.015269812287223752,-0.014436829683393692,-0.014821186106273724,-0.011729051312547931,-0.01385234529049269,-0.014021844935986358,0.0012372723133048742,8
2.201491117477417,0.019557793159057743,0.0021570682525634765,0.0008303101726728558,20,100,3,0.01,"{'num_leaves': 20, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01}",-0.013353757043021929,-0.01349385526051357,-0.013845515259008354,-0.011267908375595053,-0.013249581346709213,-0.013042123456969623,0.0009096695480078576,1
2.985831928253174,0.8738635149601554,0.004038572311401367,2.0416761721440483e-05,31,300,8,0.01,"{'num_leaves': 31, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.01}",-0.01408757674663226,-0.01424690940315365,-0.0144889883835366,-0.01182990627897685,-0.013593428832527786,-0.013649361928965428,0.0009557839888907657,7
0.7056991577148437,0.05201871147344902,0.003430747985839844,0.0008130941400605236,31,300,3,0.05,"{'num_leaves': 31, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05}",-0.015269812287223752,-0.014436829683393692,-0.014821186106273724,-0.011729051312547931,-0.01385234529049269,-0.014021844935986358,0.0012372723133048742,8
0.6426928520202637,0.09804629990140572,0.0030254364013671876,0.001549923227729613,20,100,8,0.01,"{'num_leaves': 20, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.01}",-0.013445483051495632,-0.013642092877413633,-0.014106548244002474,-0.011635310068162538,-0.013211813835598668,-0.013208249615334589,0.000839713240133163,3
0.23585929870605468,0.030134739598215977,0.00211186408996582,0.00020105376097472667,31,100,3,0.05,"{'num_leaves': 31, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05}",-0.014017539170717843,-0.01387213594459571,-0.014186809283367196,-0.011545152571415947,-0.013585769233804041,-0.013441481240780147,0.0009684731850508485,6
0.37319025993347166,0.035881348149604454,0.002067899703979492,0.00025525866713576955,31,100,5,0.01,"{'num_leaves': 31, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01}",-0.013431341656652792,-0.013601142461170845,-0.01394501634380708,-0.01140707079737111,-0.01322204149995138,-0.01312132255179064,0.000889225937304195,2
1.7843645095825196,0.15603332502050532,0.005315542221069336,0.0009736241338875385,31,500,5,0.1,"{'num_leaves': 31, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1}",-0.01711049748183048,-0.015845747819570356,-0.016494737742867267,-0.012451930555668669,-0.014872441102786307,-0.015355070940544618,0.0016298639339754654,10
0.6491665840148926,0.05284901292463398,0.0030246257781982424,0.0008313105961298218,31,300,3,0.01,"{'num_leaves': 31, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.01}",-0.013670040496486933,-0.013623833259027798,-0.013988106980165848,-0.011383482924390365,-0.013480061175388962,-0.013229104967091981,0.0009376159516962625,4
0.895088005065918,0.04666388640477223,0.003432893753051758,0.0007625014508146441,20,300,5,0.01,"{'num_leaves': 20, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.01}",-0.013961152778498251,-0.013803776319301868,-0.014284618148971417,-0.011633207168150536,-0.013478350012407322,-0.01343222088546588,0.0009362672411392739,5
