Date,SP500_Return,VIX_Return,EURUSD_Return,Log_Return,Target_Log_Return,Lag_1,Lag_2,Lag_3,Lag_5,Rolling_Std_14,Distancia_SMA_20,Distancia_SMA_50,Volume_Shock,Month_Sin,Month_Cos,Day_Sin,Day_Cos,Volume_ROC_5,OBV_ROC_5,Bollinger_Width,RSI_14,MACD_Histogram,ATR_Pct
2015-12-31T00:00:00.000000000,-0.009456485041467845,0.05184249081697819,0.0005465898145392706,-0.008505317383844468,-0.01278982535297653,0.009964850755945632,0.03179584923378148,-0.006868554889725053,0.00918101638470998,0.020040030212551713,0.008233996188549808,-0.0319691294865726,0.9946750235674794,-2.4492935982947064e-16,1.0,-0.587785252292473,-0.8090169943749475,0.681309216192937,0.000645342776297797,0.0662611886738491,54.76599605288957,0.23271087844253002,0.03471130493805538
2016-01-04T00:00:00.000000000,0.0,0.0,-0.0004668877623843841,-0.01278982535297653,0.022946311089743217,-0.008505317383844468,0.009964850755945632,0.03179584923378148,-0.006396493212707501,0.020263538199189544,-0.0049239031084378215,-0.04132862996445408,4.260127786840674,0.49999999999999994,0.8660254037844387,0.0,1.0,15.646746347941566,0.19319779034419637,0.06551052188751356,48.40389976047603,0.20205635039829828,0.03510385025068454
2016-01-05T00:00:00.000000000,0.0020102041393599396,-0.06795823921339639,-0.0024391094133951064,0.022946311089743217,-0.029721791316862447,-0.01278982535297653,-0.008505317383844468,0.009964850755945632,-0.006868554889725053,0.018267019134977306,0.018237546823461015,-0.015787189547226244,2.628975265017668,0.49999999999999994,0.8660254037844387,0.9510565162951535,0.30901699437494745,6.183067211288526,0.012833326670131484,0.06520890385243464,58.44759642771407,0.2418566013818837,0.03217156851825849
2016-01-06T00:00:00.000000000,-0.01320216300262602,0.06263003053556988,-0.007002590122124636,-0.029721791316862447,-0.008962960339839865,0.022946311089743217,-0.01278982535297653,-0.008505317383844468,0.03179584923378148,0.019841773059502202,-0.010625287552423424,-0.040984863649431436,2.75022067213503,0.49999999999999994,0.8660254037844387,0.5877852522924732,-0.8090169943749473,4.054203758654797,0.26838596783601365,0.06563020467972208,45.30999891282615,0.17620235651266436,0.032717220532640146
2016-01-07T00:00:00.000000000,-0.023985816519344776,0.19367020723744927,0.0025084301533166513,-0.008962960339839865,-0.07891773710650361,-0.029721791316862447,0.022946311089743217,-0.01278982535297653,0.009964850755945632,0.019027054077894436,-0.018452768277076426,-0.046289301050608134,1.6721926040351902,0.49999999999999994,0.8660254037844387,-0.587785252292473,-0.8090169943749475,4.977441077441077,0.45225563909774436,0.06794979500711625,42.08184901665265,0.10581546224872485,0.03184810334475901
2016-01-08T00:00:00.000000000,-0.010897537445847908,0.07773144059056664,0.013543452932964715,-0.07891773710650361,0.0062434210226170305,-0.008962960339839865,-0.029721791316862447,0.022946311089743217,-0.008505317383844468,0.027630450299652692,-0.08848706234307879,-0.11477339225918248,3.300948952668486,0.49999999999999994,0.8660254037844387,-0.9510565162951536,0.30901699437494723,12.106813524590164,0.8284577986506152,0.10762695120764147,24.858120426057255,-0.1460594616830999,0.037064621121490234
2016-01-11T00:00:00.000000000,0.0008529082958226729,-0.10573085732867375,0.0013776088495606677,0.0062434210226170305,0.006433772599620078,-0.07891773710650361,-0.008962960339839865,-0.029721791316862447,-0.01278982535297653,0.02737836534625272,-0.07731574581708911,-0.10611254834271844,1.3068567933674624,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.07949740725967291,0.3564726670045337,0.1260244557651681,27.47057927436336,-0.2759372314065771,0.03729496308187068
2016-01-12T00:00:00.000000000,0.00777251411777486,-0.07829526331090222,-0.0076186124028738075,0.006433772599620078,-0.022936357904040867,0.0062434210226170305,-0.07891773710650361,-0.008962960339839865,0.022946311089743217,0.026478692359683646,-0.0662660809009924,-0.09760579874836506,1.0007814561996389,0.49999999999999994,0.8660254037844387,0.9510565162951535,0.30901699437494745,-0.00031017369727048827,0.4109576063787794,0.13664543830633324,30.367414401403764,-0.3213289298992924,0.036270497685987196
2016-01-13T00:00:00.000000000,-0.025282375077909022,0.1154562476716288,-0.0012912976103600176,-0.022936357904040867,-0.01606452012844225,0.006433772599620078,0.0062434210226170305,-0.07891773710650361,-0.029721791316862447,0.026722816140432672,-0.08326275501809555,-0.11522972589107583,0.7111264685556323,0.49999999999999994,0.8660254037844387,0.5877852522924732,-0.8090169943749473,-0.43614231476770127,0.26877722229156675,0.15803968676673869,26.1125073195509,-0.38472608430879895,0.035923506730408804
2016-01-14T00:00:00.000000000,0.016558060934383972,-0.0516689475981104,0.0038679156615933005,-0.01606452012844225,-0.04805215649919095,-0.022936357904040867,0.006433772599620078,0.0062434210226170305,-0.008962960339839865,0.026446421492686566,-0.0924515662290265,-0.12530680396838112,1.5391527708310373,0.49999999999999994,0.8660254037844387,-0.587785252292473,-0.8090169943749475,1.0454007773334086,0.34989292354034784,0.18010084603100965,23.502651316422984,-0.43712754888165095,0.037747063476110024
