mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_num_leaves,param_n_estimators,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.1079951763153075,0.11249339674542483,0.003520345687866211,0.0010654092960116022,20,300,3,0.05,"{'num_leaves': 20, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05}",-0.01539018149235137,-0.014946095515163939,-0.014587137290118344,-0.011934771092753977,-0.013705944081390097,-0.014112825894355547,0.0012215091005265241,8
0.3290564060211182,0.047115178960287656,0.0034267425537109373,0.001363924192633312,20,100,3,0.01,"{'num_leaves': 20, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01}",-0.013127563805869429,-0.013534718962137317,-0.013743537092948689,-0.01126078238138646,-0.013230744100106566,-0.012979469268489693,0.0008866856840589785,1
2.1831599712371825,0.15598342236530635,0.004031562805175781,0.0009510432140403883,31,300,8,0.01,"{'num_leaves': 31, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.01}",-0.013933123542604012,-0.014254133590247605,-0.014205635661025449,-0.011899690146026235,-0.013478749215437659,-0.013554266431068194,0.0008718892312758619,7
0.7494052886962891,0.04492401226729933,0.003320741653442383,0.0007546116147571547,31,300,3,0.05,"{'num_leaves': 31, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05}",-0.01539018149235137,-0.014946095515163939,-0.014587137290118344,-0.011934771092753977,-0.013705944081390097,-0.014112825894355547,0.0012215091005265241,8
0.6556608200073242,0.11463574216379012,0.0034725189208984373,0.00045547203301909495,20,100,8,0.01,"{'num_leaves': 20, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.01}",-0.013103357633640147,-0.0137777973546983,-0.01382514566184652,-0.011694428393643366,-0.013196724457225268,-0.01311949070021072,0.0007704991217233767,3
0.23140196800231932,0.024140509091627876,0.0027539730072021484,0.0007520995307425657,31,100,3,0.05,"{'num_leaves': 31, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05}",-0.014147677998967295,-0.013994534071518511,-0.014005221521849267,-0.011696566581338335,-0.013520373973197965,-0.013472874829374273,0.0009130616457064485,6
0.4232459545135498,0.056946286636169755,0.0028487205505371093,0.0008929578683912109,31,100,5,0.01,"{'num_leaves': 31, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01}",-0.01316704034244521,-0.01367757664924026,-0.01373429140160167,-0.011379964609163472,-0.013224255309729177,-0.013036625662435958,0.0008595690047723036,2
1.7860990524291993,0.1307581492073889,0.0046460628509521484,0.0008267047667420766,31,500,5,0.1,"{'num_leaves': 31, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1}",-0.01730647741599842,-0.016835960058708844,-0.01626442909998097,-0.013187726773413285,-0.014817985424733912,-0.015682515754567087,0.001501845074154757,10
0.6379824161529541,0.05253451930118696,0.0022192955017089843,0.0009799776325248044,31,300,3,0.01,"{'num_leaves': 31, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.01}",-0.0136065176600648,-0.013663884485089994,-0.01377662898158454,-0.011409484110027953,-0.013435042982928148,-0.013178311643939086,0.000891267281793517,4
0.883089017868042,0.033835934858268475,0.0041712760925292965,0.0006278202087191782,20,300,5,0.01,"{'num_leaves': 20, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.01}",-0.013906807333261743,-0.013997904462624966,-0.014005654645427908,-0.011605075998312273,-0.013411411348249299,-0.013385370757575238,0.0009167304168660571,5
